"El Tarter"	"El Tarter"	"AD"
"Sant Julià de Lòria"	"Sant Julia de Loria"	"AD"
"Pas de la Casa"	"Pas de la Casa"	"AD"
"Ordino"	"Ordino"	"AD"
"les Escaldes"	"les Escaldes"	"AD"
"la Massana"	"la Massana"	"AD"
"Encamp"	"Encamp"	"AD"
"Canillo"	"Canillo"	"AD"
"Arinsal"	"Arinsal"	"AD"
"Andorra la Vella"	"Andorra la Vella"	"AD"
"Umm al Qaywayn"	"Umm al Qaywayn"	"AE"
"Ras al-Khaimah"	"Ras al-Khaimah"	"AE"
"Muzayri‘"	"Muzayri`"	"AE"
"Khawr Fakkān"	"Khawr Fakkan"	"AE"
"Dubai"	"Dubai"	"AE"
"Dibā"	"Diba"	"AE"
"Sharjah"	"Sharjah"	"AE"
"Ar Ruways"	"Ar Ruways"	"AE"
"Al Fujayrah"	"Al Fujayrah"	"AE"
"Al Ain"	"Al Ain"	"AE"
"Ajman"	"Ajman"	"AE"
"Adh Dhayd"	"Adh Dhayd"	"AE"
"Abu Dhabi"	"Abu Dhabi"	"AE"
"Zorkot"	"Zorkot"	"AF"
"Wulêswālī Bihsūd"	"Wuleswali Bihsud"	"AF"
"Kuhsān"	"Kuhsan"	"AF"
"Lāsh"	"Lash"	"AF"
"Tukzār"	"Tukzar"	"AF"
"Mīray"	"Miray"	"AF"
"Āq Kupruk"	"Aq Kupruk"	"AF"
"Zurmat"	"Zurmat"	"AF"
"Zaybāk"	"Zaybak"	"AF"
"Zīārat-e Shāh Maqşūd"	"Ziarat-e Shah Maqsud"	"AF"
"Zindah Jān"	"Zindah Jan"	"AF"
"Zarghūn Shahr"	"Zarghun Shahr"	"AF"
"Zaṟah Sharan"	"Zarah Sharan"	"AF"
"Zaranj"	"Zaranj"	"AF"
"Zamtō Kêlay"	"Zamto Kelay"	"AF"
"Yangī Qal‘ah"	"Yangi Qal`ah"	"AF"
"Yaḩyá Khēl"	"Yahya Khel"	"AF"
"Wāshēr"	"Washer"	"AF"
"Tōrmay"	"Tormay"	"AF"
"Tūlak"	"Tulak"	"AF"
"Tītān"	"Titan"	"AF"
"Tīr Pul"	"Tir Pul"	"AF"
"Taywarah"	"Taywarah"	"AF"
"Bāzār-e Tashkān"	"Bazar-e Tashkan"	"AF"
"Tarinkot"	"Tarinkot"	"AF"
"Taloqan"	"Taloqan"	"AF"
"Tagāw-Bāy"	"Tagaw-Bay"	"AF"
"Tagāb"	"Tagab"	"AF"
"Markaz-e Ḩukūmat-e Sulţān-e Bakwāh"	"Markaz-e Hukumat-e Sultan-e Bakwah"	"AF"
"Spīn Bōldak"	"Spin Boldak"	"AF"
"Spērah"	"Sperah"	"AF"
"Sōzmah Qal‘ah"	"Sozmah Qal`ah"	"AF"
"Siyāhgird"	"Siyahgird"	"AF"
"Sheywah"	"Sheywah"	"AF"
"Shīnḏanḏ"	"Shindand"	"AF"
"Shaykh Amīr Kêlay"	"Shaykh Amir Kelay"	"AF"
"Qāshqāl"	"Qashqal"	"AF"
"Shibirghān"	"Shibirghan"	"AF"
"Shwāk"	"Shwak"	"AF"
"Shahr-e Şafā"	"Shahr-e Safa"	"AF"
"Shahrān"	"Shahran"	"AF"
"Shahrak"	"Shahrak"	"AF"
"‘Alāqahdārī Shāh Jōy"	"`Alaqahdari Shah Joy"	"AF"
"Wulêswālī Sayyid Karam"	"Wuleswali Sayyid Karam"	"AF"
"Markaz-e Sayyidābād"	"Markaz-e Sayyidabad"	"AF"
"Şayād"	"Sayad"	"AF"
"Sidqābād"	"Sidqabad"	"AF"
"Sāyagaz"	"Sayagaz"	"AF"
"Sar-e Tayghān"	"Sar-e Tayghan"	"AF"
"Sarōbī"	"Sarobi"	"AF"
"Sar Kāṉī"	"Sar Kani"	"AF"
"Sarfirāz Kalā"	"Sarfiraz Kala"	"AF"
"Sar-e Pul"	"Sar-e Pul"	"AF"
"Sar Chakān"	"Sar Chakan"	"AF"
"Sangīn"	"Sangin"	"AF"
"Sang-e Māshah"	"Sang-e Mashah"	"AF"
"Sang-e Chārak"	"Sang-e Charak"	"AF"
"Sang Atesh"	"Sang Atesh"	"AF"
"Sangar Sarāy"	"Sangar Saray"	"AF"
"Aībak"	"Aibak"	"AF"
"Rū-ye Sang"	"Ru-ye Sang"	"AF"
"Rūdbār"	"Rudbar"	"AF"
"Rustāq"	"Rustaq"	"AF"
"Rabāţ-e Sangī-ye Pā’īn"	"Rabat-e Sangi-ye Pa'in"	"AF"
"Rāmak"	"Ramak"	"AF"
"Qurghān"	"Qurghan"	"AF"
"Quchanghī"	"Quchanghi"	"AF"
"Sangalak-i-Kaisar"	"Sangalak-i-Kaisar"	"AF"
"Qarqīn"	"Qarqin"	"AF"
"Qarghah’ī"	"Qarghah'i"	"AF"
"Qarchī Gak"	"Qarchi Gak"	"AF"
"Qarāwul"	"Qarawul"	"AF"
"Qarah Bāgh"	"Qarah Bagh"	"AF"
"Qarah Bāgh"	"Qarah Bagh"	"AF"
"Qala i Naw"	"Qala i Naw"	"AF"
"Qal‘ah-ye Kūf"	"Qal`ah-ye Kuf"	"AF"
"Qal‘ah-ye Kuhnah"	"Qal`ah-ye Kuhnah"	"AF"
"Qal‘ah-ye Shahr"	"Qal`ah-ye Shahr"	"AF"
"Qalāt"	"Qalat"	"AF"
"Qal‘ah-ye Shāhī"	"Qal`ah-ye Shahi"	"AF"
"Qādis"	"Qadis"	"AF"
"Pārūn"	"Parun"	"AF"
"Pul-e Khumrī"	"Pul-e Khumri"	"AF"
"Pul-e ‘Alam"	"Pul-e `Alam"	"AF"
"Pasnay"	"Pasnay"	"AF"
"Pāshmūl"	"Pashmul"	"AF"
"Pasāband"	"Pasaband"	"AF"
"Panjāb"	"Panjab"	"AF"
"Paghmān"	"Paghman"	"AF"
"Ōmnah"	"Omnah"	"AF"
"Qaryeh-ye Owbeh"	"Qaryeh-ye Owbeh"	"AF"
"Uruzgān"	"Uruzgan"	"AF"
"Urgūn"	"Urgun"	"AF"
"Nūsay"	"Nusay"	"AF"
"Nūrgal"	"Nurgal"	"AF"
