destinationProvince	mainCity	destinationDistrict
Sumatera Barat	Kab. Padang Pariaman	2 X 11 Kayu Tanam
Sumatera Selatan	Kab. Muara Enim	Abab (Penukal Abab)
Bali	Kab. Karangasem	Abang
Sulawesi Tenggara	Kota Kendari	Abeli
Papua	Kab. Jayawijaya	Abenaho
Papua	Kota Jayapura	Abepura
Bali	Kab. Badung	Abiansemal
Sulawesi Tenggara	Kab. Konawe	Abuki
Papua Barat	Kab. Sorong	Abun
Lampung	Kab. Lampung Utara	Abung Barat
Lampung	Kab. Lampung Utara	Abung Selatan
Lampung	Kab. Lampung Utara	Abung Semuli
Lampung	Kab. Lampung Utara	Abung Surakarta
Lampung	Kab. Lampung Utara	Abung Tengah
Lampung	Kab. Lampung Utara	Abung Timur
Lampung	Kab. Lampung Utara	Abung Tinggi
Lampung	Kab. Tanggamus	Adi Luwih
Sumatera Utara	Kab. Tapanuli Utara	Adiankoting
Jawa Tengah	Kab. Kebumen	Adimulyo
Jawa Tengah	Kab. Cilacap	Adipala
Jawa Tengah	Kab. Tegal	Adiwerna
Sumatera Utara	Kab. Tapanuli Tengah	Adman Dewi
Nusa Tenggara Timur	Kab. Flores Timur	Adonara Barat
Nusa Tenggara Timur	Kab. Flores Timur	Adonara Timur
Sumatera Utara	Kab. Tapanuli Selatan	Aek Bilah
Sumatera Utara	Kab. Asahan	Aek Kuasan
Sumatera Utara	Kab. Labuhan Batu	Aek Kuo
Sumatera Utara	Kab. Labuhan Batu	Aek Natas
Nusa Tenggara Timur	Kab. Nagekeo	Aesesa
Nusa Tenggara Timur	Kab. Nagekeo	Aesesa Selatan
Sumatera Utara	Kab. Nias	Afulu
Papua	Kab. Asmat	Agats
Papua	Kab. Mimika	Agimuga
Papua	Kab. Paniai	Agisiga
Papua	Kab. Intan Jaya	Agisiga
Jawa Barat	Kab. Cianjur	Agrabinta
Papua Barat	Kab. Sorong Selatan	Aifat
Papua Barat	Kab. Sorong Selatan	Aifat Timur
Nusa Tenggara Barat	Kab. Lombok Timur	Aikmel
Papua Barat	Kab. Sorong	Aimas
Nusa Tenggara Timur	Kab. Ngada	Aimere
Sumatera Utara	Kab. Asahan	Air Batu
Kalimantan Barat	Kab. Landak	Air Besar
Bengkulu	Kab. Bengkulu Utara	Air Besi
Maluku	Kab. Buru	Air Buaya / Buru Utara Barat
Kepulauan Bangka Belitung	Kab. Bangka Selatan	Air Gegas
Jambi	Kab. Kerinci	Air Hangat
Jambi	Kab. Kerinci	Air Hangat Timur
Sumatera Utara	Kab. Asahan	Air Joman
Bengkulu	Kab. Bengkulu Utara	Air Napal
Bengkulu	Kab. Seluma	Air Periukan
Sumatera Utara	Kab. Batubara	Air Putih
Sumatera Selatan	Kab. Ogan Komering Ilir	Air Sugihan
Kalimantan Barat	Kab. Ketapang	Air Upas
Sulawesi Utara	Kab. Minahasa Utara	Airmadidi
Papua Barat	Kab. Sorong Selatan	Aitinyo
Sulawesi Selatan	Kab. Bone	Ajangale
Jawa Tengah	Kab. Banyumas	Ajibarang
Sumatera Utara	Kab. Toba Samosir	Ajibata
Jawa Timur	Kab. Jember	Ajung
Sumatera Barat	Kab. Lima Puluh Kota	Akabiluru
Papua	Kab. Asmat	Akat
Aceh	Kab. Simeuleu	Alafan
Nusa Tenggara Timur	Kota Kupang	Alak
Kalimantan Selatan	Kab. Barito Kuala	Alalak
Sumatera Selatan	Kota Palembang	Alang-Alang Lebar
Nusa Tenggara Barat	Kab. Sumbawa	Alas
Nusa Tenggara Barat	Kab. Sumbawa	Alas Barat
Sumatera Utara	Kab. Nias	Alasa
Jawa Tengah	Kab. Kebumen	Aliyan
Sulawesi Selatan	Kab. Enrekang	Alla
Sulawesi Selatan	Kab. Enrekang	Alla Timur
Sulawesi Barat	Kab. Polewali Mandar	Allu
Nusa Tenggara Timur	Kab. Sikka	Alok
Nusa Tenggara Timur	Kab. Alor	Alor Barat Daya
Nusa Tenggara Timur	Kab. Alor	Alor Barat Laut
Nusa Tenggara Timur	Kab. Alor	Alor Selatan
Nusa Tenggara Timur	Kab. Alor	Alor Tengah Utara
Nusa Tenggara Timur	Kab. Alor	Alor Timur
Nusa Tenggara Timur	Kab. Alor	Alor Timur Laut
Kalimantan Selatan	Kab. Banjar	Aluh Aluh
Nusa Tenggara Timur	Kab. Kupang	Amabioefeto Timur
Maluku	Kab. Maluku Tengah	Amahai
Sulawesi Selatan	Kab. Bone	Amali
Nusa Tenggara Timur	Kab. Timor Tengah Selatan	Amanatun Selatan
Nusa Tenggara Timur	Kab. Timor Tengah Selatan	Amanatun Tengah
Nusa Tenggara Timur	Kab. Timor Tengah Selatan	Amanatun Timur
Nusa Tenggara Timur	Kab. Timor Tengah Selatan	Amanatun Utara
Sumatera Utara	Kab. Nias Selatan	Amandraya
Nusa Tenggara Timur	Kab. Timor Tengah Selatan	Amanuban Barat
Nusa Tenggara Timur	Kab. Timor Tengah Selatan	Amanuban Selatan
Nusa Tenggara Timur	Kab. Kupang	Amarasi
Nusa Tenggara Timur	Kab. Kupang	Amarasi Barat
Nusa Tenggara Timur	Kab. Kupang	Amarasi Selatan
Nusa Tenggara Timur	Kab. Kupang	Amarasi Timur
Jawa Tengah	Kab. Kebumen	Ambal
Kalimantan Barat	Kab. Sintang	Ambalau
Kalimantan Barat	Kab. Melawi	Ambalau
Nusa Tenggara Barat	Kab. Bima	Ambalawi
Jawa Tengah	Kab. Semarang	Ambarawa
Papua	Kab. Manokwari	Amberbaken
Maluku	Kota Ambon	Ambon
Jawa Timur	Kab. Jember	Ambulu
Jawa Timur	Kab. Sumenep	Ambunten
Nusa Tenggara Timur	Kab. Kupang	Amfoang Barat Daya
Nusa Tenggara Timur	Kab. Kupang	Amfoang Barat Laut
Nusa Tenggara Timur	Kab. Kupang	Amfoang Selatan
Nusa Tenggara Timur	Kab. Kupang	Amfoang Utara
Bali	Kab. Karangasem	Amlapura
Sulawesi Tengah	Kab. Tojo Una-Una	Ampana Kota
Sulawesi Tengah	Kab. Tojo Una-Una	Ampana Tete
Sumatera Barat	Kab. Agam	Ampek Nagari
Jawa Tengah	Kab. Boyolali	Ampel
Jawa Timur	Kab. Malang	Ampelgading
Jawa Tengah	Kab. Pemalang	Ampelgading
Nusa Tenggara Barat	Kota Mataram	Ampenan
Sulawesi Tengah	Kab. Parigi Moutong	Ampibabo
Kalimantan Selatan	Kab. Hulu Sungai Utara	Amuntai
Kalimantan Selatan	Kab. Hulu Sungai Utara	Amuntai Selatan
Kalimantan Selatan	Kab. Hulu Sungai Utara	Amuntai Tengah
Kalimantan Selatan	Kab. Hulu Sungai Utara	Amuntai Utara
Sulawesi Utara	Kab. Minahasa Selatan	Amurang
Lampung	Kab. Lampung Tengah	Anak Tuha
Jawa Barat	Bandung	Andir
Sulawesi Tenggara	Kab. Konawe Utara/ Selatan	Andolo/Wanggodo
Jawa Tengah	Kab. Boyolali	Andong
Sulawesi Tenggara	Kab. Konawe Utara/ Selatan	Angata
Kalimantan Timur	Kab. Kutai Kartanegara	Anggana
Sulawesi Selatan	Kab. Enrekang	Anggeraja
Sulawesi Selatan	Kab. Enrekang	Anggeraja Timur
Papua	Kab. Manokwari	Anggi
Gorontalo	Kab. Gorontalo	Anggrek
Gorontalo	Kab. Gorontalo Utara	Anggrek
Papua	Kab. Yahukimo	Anggruk
Papua	Kab. Yapen Waropen	Angkaisera
Kalimantan Selatan	Kab. Hulu Sungai Selatan	Angkinang
Sulawesi Selatan	Kab. Luwu Timur	Angkona
Banten	Kab. Pandeglang	Angsana
Jawa Barat	Kab. Indramayu	Anjatan
Kalimantan Selatan	Kab. Barito Kuala	Anjir Muara
Kalimantan Selatan	Kab. Barito Kuala	Anjir Pasar
Sulawesi Barat	Kab. Polewali Mandar	Anreapi
