destinationProvince	mainCity	destinationDistrict
Nusa Tenggara Barat	Kota Mataram	Mataram
Nusa Tenggara Barat	Kota Mataram	Ampenan
Nusa Tenggara Barat	Kota Mataram	Cakranegara
Nusa Tenggara Barat	Kota Bima	Bima
Nusa Tenggara Barat	Kota Bima	Asakota
Nusa Tenggara Barat	Kota Bima	Rasanae Barat
Nusa Tenggara Barat	Kota Bima	Rasanae Timur
Nusa Tenggara Barat	Kota Bima	Raba
Nusa Tenggara Barat	Kota Bima	Mpunda
Nusa Tenggara Barat	Kab. Dompu	Dompu
Nusa Tenggara Barat	Kab. Dompu	Woja
Nusa Tenggara Barat	Kab. Dompu	Manggelewa
Nusa Tenggara Barat	Kab. Lombok Tengah	Praya
Nusa Tenggara Barat	Kab. Lombok Tengah	Batukliang
Nusa Tenggara Barat	Kab. Lombok Tengah	Janapria
Nusa Tenggara Barat	Kab. Lombok Tengah	Jonggat
Nusa Tenggara Barat	Kab. Lombok Tengah	Kopang
Nusa Tenggara Barat	Kab. Lombok Tengah	Praya Barat
Nusa Tenggara Barat	Kab. Lombok Tengah	Praya Timur
Nusa Tenggara Barat	Kab. Lombok Tengah	Pringgarata
Nusa Tenggara Barat	Kab. Lombok Tengah	Pujut
Nusa Tenggara Barat	Kab. Lombok Tengah	Batukliang Utara
Nusa Tenggara Barat	Kab. Lombok Tengah	Praya Barat Daya
Nusa Tenggara Barat	Kab. Lombok Tengah	Praya Tengah
Nusa Tenggara Barat	Kab. Lombok Timur	Selong
Nusa Tenggara Barat	Kab. Lombok Timur	Aikmel
Nusa Tenggara Barat	Kab. Lombok Timur	Keruak
Nusa Tenggara Barat	Kab. Lombok Timur	Mas Bagik
Nusa Tenggara Barat	Kab. Lombok Timur	Sakra
Nusa Tenggara Barat	Kab. Lombok Timur	Sikur
Nusa Tenggara Barat	Kab. Lombok Timur	Sukamulia
Nusa Tenggara Barat	Kab. Lombok Timur	Terara
Nusa Tenggara Barat	Kab. Lombok Timur	Jerowaru
Nusa Tenggara Barat	Kab. Lombok Timur	Montong Gading
Nusa Tenggara Barat	Kab. Lombok Timur	Pringgasela
Nusa Tenggara Barat	Kab. Lombok Timur	Sakra Barat
Nusa Tenggara Barat	Kab. Lombok Timur	Sakra Timur
Nusa Tenggara Barat	Kab. Lombok Timur	Suela
Nusa Tenggara Barat	Kab. Lombok Timur	Suralaga
Nusa Tenggara Barat	Kab. Lombok Timur	Wanasaba
Nusa Tenggara Barat	Kab. Lombok Timur	Labuhan Haji
Nusa Tenggara Barat	Kab. Sumbawa	Sumbawa Besar
Nusa Tenggara Barat	Kab. Sumbawa	Alas
Nusa Tenggara Barat	Kab. Sumbawa	Empang
Nusa Tenggara Barat	Kab. Sumbawa	Lape+AC0-Lopok
Nusa Tenggara Barat	Kab. Sumbawa	Moyohilir
Nusa Tenggara Barat	Kab. Sumbawa	Moyohulu
Nusa Tenggara Barat	Kab. Sumbawa	Plampang
Nusa Tenggara Barat	Kab. Sumbawa	Utan+AC0-Rhee
Nusa Tenggara Barat	Kab. Sumbawa	Alas Barat
Nusa Tenggara Barat	Kab. Sumbawa	Labuhan Badas
Nusa Tenggara Barat	Kab. Sumbawa	Sumbawa
Nusa Tenggara Barat	Kab. Lombok Barat	Gerung
Nusa Tenggara Barat	Kab. Lombok Barat	Kediri
Nusa Tenggara Barat	Kab. Lombok Barat	Labu Api
Nusa Tenggara Barat	Kab. Lombok Barat	Narmada
Nusa Tenggara Barat	Kab. Lombok Barat	Tanjung
Nusa Tenggara Barat	Kab. Lombok Barat	Batu Layar
Nusa Tenggara Barat	Kab. Lombok Barat	Gunung Sari
Nusa Tenggara Barat	Kab. Lombok Barat	Kuripan
Nusa Tenggara Barat	Kab. Lombok Barat	Lembar
Nusa Tenggara Barat	Kab. Lombok Barat	Lingsar
Nusa Tenggara Barat	Kab. Sumbawa Barat	Taliwang
Nusa Tenggara Barat	Kab. Sumbawa Barat	Jereweh
Nusa Tenggara Barat	Kab. Sumbawa Barat	Sekongkang
Nusa Tenggara Barat	Kab. Sumbawa Barat	Brang Rea
