Province	City	District	Area Code	CIty Code
Sumatera Barat	Kab. Padang Pariaman	2 X 11 Kayu Tanam	PDG20632	PDG
Sumatera Selatan	Kab. Muara Enim	Abab (Penukal Abab)	PLM20520	PLM
Bali	Kab. Karangasem	Abang	DPS20101	DPS
Sulawesi Tenggara	Kota Kendari	Abeli	KDI10014	KDI
Papua	Kab. Jayawijaya	Abenaho	DJJ20712	DJJ
Papua	Kota Jayapura	Abepura	DJJ10001	DJJ
Bali	Kab. Badung	Abiansemal	DPS21101	DPS
Sulawesi Tenggara	Kab. Konawe	Abuki	KDI20401	KDI
Papua Barat	Kab. Sorong	Abun	SOQ10018	SOQ
Lampung	Kab. Lampung Utara	Abung Barat	TKG20201	TKG
Lampung	Kab. Lampung Utara	Abung Selatan	TKG20202	TKG
Lampung	Kab. Lampung Utara	Abung Semuli	TKG20224	TKG
Lampung	Kab. Lampung Utara	Abung Surakarta	TKG20225	TKG
Lampung	Kab. Lampung Utara	Abung Tengah	TKG20226	TKG
Lampung	Kab. Lampung Utara	Abung Timur	TKG20203	TKG
Lampung	Kab. Lampung Utara	Abung Tinggi	TKG20228	TKG
Lampung	Kab. Tanggamus	Adi Luwih	TKG21308	TKG
Sumatera Utara	Kab. Tapanuli Utara	Adiankoting	MES21001	MES
Jawa Tengah	Kab. Kebumen	Adimulyo	MGL10101	MGL
Jawa Tengah	Kab. Cilacap	Adipala	CXP10001	CXP
Jawa Tengah	Kab. Tegal	Adiwerna	SRG21411	SRG
Sumatera Utara	Kab. Tapanuli Tengah	Adman Dewi	MES10205	MES
Nusa Tenggara Timur	Kab. Flores Timur	Adonara Barat	KOE20401	KOE
Nusa Tenggara Timur	Kab. Flores Timur	Adonara Timur	KOE20402	KOE
Sumatera Utara	Kab. Tapanuli Selatan	Aek Bilah	MES22401	MES
Sumatera Utara	Kab. Asahan	Aek Kuasan	MES10117	MES
Sumatera Utara	Kab. Labuhan Batu	Aek Kuo	MES20713	MES
Sumatera Utara	Kab. Labuhan Batu	Aek Natas	MES20701	MES
